0, 929
0, 1990
0, 2370
0, 2781
0, 4656
0, 6231
0, 8431
0, 9496
1, 47
1, 637
1, 1480
1, 2203
1, 2377
1, 2582
1, 3371
1, 3698
1, 5331
1, 6094
1, 6357
1, 6490
1, 7557
1, 9419
1, 9652
1, 9826
2, 168
2, 572
2, 1191
2, 1375
2, 1396
2, 1865
2, 2403
2, 3572
2, 5185
2, 5251
2, 9597
2, 9799
3, 4016
3, 4227
3, 4509
3, 4627
3, 4729
3, 4998
3, 6249
3, 7087
3, 9783
3, 9796
4, 3670
4, 4057
4, 4259
4, 5192
4, 5285
4, 5375
4, 5622
4, 8417
4, 9643
5, 1114
5, 1414
5, 3137
5, 3300
5, 5572
5, 7952
5, 8922
5, 9712
6, 856
6, 1247
6, 1283
6, 1802
6, 1946
6, 2996
6, 4014
6, 4095
6, 4239
6, 4631
6, 4796
6, 5718
6, 6560
6, 6628
6, 7217
6, 7290
6, 8314
6, 8406
6, 8995
6, 9270
7, 1834
7, 3053
7, 3092
7, 3166
7, 3466
7, 4039
7, 4938
7, 5790
7, 6839
7, 7899
7, 7936
7, 8388
7, 9597
7, 9706
7, 9849
8, 1780
8, 2146
8, 3340
8, 4734
8, 5934
8, 7885
8, 7992
8, 8083
8, 8534
8, 8685
8, 9314
9, 1482
9, 4337
9, 5292
9, 6093
9, 7548
9, 7774
9, 7787
9, 8101
9, 8357
9, 9631
9, 9878
10, 45
10, 1977
10, 2050
10, 2335
10, 4378
10, 4513
10, 4693
10, 4930
10, 5435
10, 5442
10, 6057
10, 7307
10, 8864
10, 9654
11, 41
11, 169
11, 2308
11, 2882
11, 5084
11, 5289
11, 5465
11, 6244
11, 8874
11, 9238
11, 9756
12, 729
12, 3369
12, 6353
12, 6852
12, 8280
12, 8773
12, 8988
12, 9174
12, 9842
13, 2411
13, 2678
13, 3058
13, 5425
13, 6245
13, 7011
13, 8939
13, 9241
14, 2647
14, 4105
14, 4961
14, 5967
14, 9083
14, 9527
14, 9603
15, 433
15, 1395
15, 2479
15, 4215
15, 4792
15, 5090
16, 1309
16, 1804
16, 2712
16, 3081
16, 6244
16, 6250
16, 6581
16, 6603
16, 7425
16, 7563
16, 8531
16, 8725
16, 9281
17, 1325
17, 1456
17, 1537
17, 3627
17, 4458
17, 5593
17, 6644
17, 7095
17, 7128
17, 8067
17, 8946
17, 9107
18, 980
18, 1137
18, 1269
18, 1513
18, 1786
18, 2591
18, 3881
18, 4174
18, 6555
18, 6911
18, 9212
19, 106
19, 1291
19, 3558
19, 6948
19, 7229
19, 9560
19, 9949
20, 1291
20, 2511
20, 2697
20, 3903
20, 6936
20, 7030
20, 7502
20, 9740
21, 131
